Student_ID,Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Attendance (%),Study_Hours_per_Week,Sleep_Hours_per_Night,Stress_Level (1-10),Age,Final_Score,Total_Score,Gender_Encoded,Extracurricular_Activities_Encoded,Internet_Access_at_Home_Encoded,Department_Business,Department_CS,Department_Engineering,Department_Mathematics,Parent_Education_Level_Bachelor's,Parent_Education_Level_High School,Parent_Education_Level_Master's,Parent_Education_Level_PhD,Family_Income_Level_High,Family_Income_Level_Low,Family_Income_Level_Medium
S1054,88.27,93.59,58.3,49.3,84.44,89.53,26.1,8.7,9,19,67.35,77.74349999999998,1,1,1,1,0,0,0,0,0,0,1,0,1,0
S1055,89.33,90.04,80.77,43.1,64.0,84.86,28.1,8.1,8,19,73.46,74.7025,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S1056,68.37,87.68,99.1,22.9,82.16,99.78,16.3,4.5,9,20,81.17,79.403,0,0,1,0,1,0,0,0,1,0,0,0,0,1
S1057,51.55,92.38,53.72,92.3,97.86,50.68,12.5,6.4,9,20,54.32,74.5145,1,1,1,0,1,0,0,0,0,1,0,0,0,1
S1058,45.98,80.98,74.52,31.8,86.45,67.76,13.4,7.2,10,20,90.16,76.56099999999999,1,0,1,0,0,0,1,0,0,0,1,0,1,0
S1059,84.6,75.07,86.65,56.7,70.92,64.05,19.5,7.0,3,24,83.31,77.554,1,0,1,1,0,0,0,0,0,0,1,1,0,0
S1060,93.18,68.7,52.3,14.9,87.38,63.12,11.9,7.4,7,20,54.05,69.98349999999999,0,1,0,1,0,0,0,0,1,0,0,0,1,0
S1061,79.05,61.19,88.91,43.4,90.46,61.13,27.8,6.1,5,19,98.5,83.86,1,1,1,1,0,0,0,1,0,0,0,1,0,0
S1062,48.65,77.87,98.98,90.4,66.29,85.46,15.5,8.5,6,22,79.89,73.25550000000001,0,1,0,0,0,1,0,1,0,0,0,0,0,1
S1063,96.09,94.47,54.42,99.5,85.26,54.24,29.8,5.4,8,22,67.15,81.3665,1,1,1,0,1,0,0,0,1,0,0,1,0,0
S1064,99.35,79.7,91.11,36.2,71.72,87.08,7.7,4.5,10,20,49.45,71.65700000000001,1,0,1,0,1,0,0,0,0,1,0,0,1,0
S1065,66.0,95.98,68.93,15.4,90.93,84.67,9.7,8.9,8,24,71.99,77.2365,0,0,0,0,1,0,0,0,0,1,0,0,0,1
S1066,75.69,67.85,57.21,31.4,64.77,62.54,17.8,7.3,7,21,49.89,60.7255,1,1,0,0,0,0,1,0,0,0,1,0,0,1
S1067,86.63,84.76,74.66,32.7,96.89,62.64,26.7,7.3,1,18,65.77,80.31899999999999,1,1,0,1,0,0,0,0,1,0,0,1,0,0
S1068,84.18,82.43,53.58,64.5,78.74,81.44,13.8,8.1,1,23,64.52,73.3265,1,1,0,0,1,0,0,0,0,1,0,0,0,1
S1069,98.07,83.52,76.11,49.6,67.67,88.11,25.9,6.1,6,24,83.2,78.43050000000001,1,0,1,0,0,0,1,1,0,0,0,1,0,0
S1070,46.89,82.25,50.97,76.8,70.97,93.82,15.6,5.9,9,21,51.54,62.484,1,0,1,0,1,0,0,0,1,0,0,0,1,0
S1071,74.84,61.08,86.43,70.1,67.39,92.61,26.3,8.7,8,23,89.31,75.0805,0,1,1,0,0,1,0,0,0,0,1,0,0,1
S1072,81.52,57.18,74.4,25.1,57.31,98.24,11.9,5.9,1,21,59.57,61.58550000000001,0,0,1,1,0,0,0,0,0,0,1,0,1,0
S1073,93.41,98.93,72.95,78.4,53.42,79.07,16.8,4.4,8,21,66.64,72.75200000000001,1,1,0,0,0,0,1,0,0,1,0,1,0,0
S1074,92.45,52.26,59.81,84.7,66.09,95.43,12.0,5.5,5,22,86.34,73.3345,0,0,1,0,1,0,0,0,0,1,0,1,0,0
S1075,98.68,73.39,68.06,59.8,72.93,90.43,10.4,8.4,2,18,77.52,76.8655,0,0,0,1,0,0,0,0,1,0,0,0,1,0
S1076,70.72,71.25,59.09,92.8,68.09,94.73,15.5,4.5,7,21,58.48,66.8915,0,0,1,0,0,0,1,0,0,1,0,1,0,0
S1077,89.85,68.0,86.77,78.3,50.7,50.58,13.4,7.6,2,20,63.17,67.27199999999999,1,1,1,1,0,0,0,0,0,1,0,1,0,0
S1078,65.64,89.1,59.95,59.5,78.95,98.3,24.7,5.3,4,23,58.35,70.4535,1,1,0,1,0,0,0,1,0,0,0,0,1,0
S1079,65.34,87.27,80.84,90.6,57.24,73.68,23.7,7.7,4,24,75.69,71.60000000000001,1,1,1,0,0,1,0,1,0,0,0,0,1,0
S1080,55.2,95.26,63.98,60.0,60.55,89.91,14.0,6.6,5,22,59.96,65.12199999999999,0,0,1,1,0,0,0,0,1,0,0,0,0,1
S1081,89.09,69.77,82.85,52.1,56.04,56.36,29.8,7.2,6,23,83.54,72.416,0,0,0,0,0,0,1,0,0,1,0,0,0,1
S1082,99.15,78.21,77.02,35.6,76.02,69.8,29.3,5.2,2,20,74.79,77.58949999999999,1,1,1,1,0,0,0,0,0,1,0,0,1,0
S1083,55.38,94.62,71.17,88.3,54.76,63.57,27.9,4.8,8,20,48.74,62.645,1,1,1,0,0,0,1,0,0,0,1,0,0,1
S1084,43.37,99.69,83.65,12.3,62.82,64.58,19.7,4.3,9,21,58.62,63.94,0,1,1,1,0,0,0,1,0,0,0,1,0,0
S1085,88.93,98.46,70.79,47.400000000000006,72.59,56.16,15.3,8.1,3,20,53.29,72.657,0,0,0,0,1,0,0,0,0,0,1,0,0,1
S1086,77.21,85.89,91.07,53.7,58.39,90.29,12.8,7.6,7,18,63.42,69.629,1,0,0,0,0,1,0,0,0,1,0,0,0,1
S1087,97.58,57.16,86.48,55.5,72.31,50.46,5.4,5.5,4,20,70.96,74.067,0,0,1,0,1,0,0,1,0,0,0,1,0,0
S1088,55.13,51.16,77.03,65.19999999999999,67.14,65.63,20.8,8.2,10,21,70.41,64.651,0,0,1,0,0,1,0,0,0,1,0,0,1,0
S1089,44.26,91.26,93.85,50.6,93.03,58.72,18.8,8.2,4,23,85.27,81.4695,0,1,1,0,0,0,1,0,1,0,0,1,0,0
S1090,69.55,92.05,91.44,25.7,89.75,79.45,20.7,4.7,1,20,51.35,74.4315,0,0,1,0,0,1,0,0,0,0,1,0,0,1
S1091,45.13,87.32,76.59,85.7,99.64,62.71,19.4,7.6,5,22,96.79,85.901,0,1,0,1,0,0,0,1,0,0,0,1,0,0
S1092,55.71,64.0,53.42,65.8,76.45,62.95,8.4,5.5,6,24,60.57,64.666,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S1093,47.56,81.99,78.3,85.8,78.77,74.42,22.4,6.3,5,22,58.01,69.68599999999999,0,1,0,0,1,0,0,0,0,1,0,0,0,1
S1094,53.45,65.81,67.76,27.6,97.33,82.63,14.0,6.2,6,22,81.11,75.5215,1,1,1,0,0,1,0,0,0,1,0,0,1,0
S1095,46.37,72.53,77.01,63.7,69.98,56.07,17.9,7.0,3,23,88.33,71.79750000000001,1,0,0,0,0,0,1,0,1,0,0,0,1,0
S1096,97.23,69.12,82.36,71.39999999999999,77.78,58.78,14.1,5.7,2,19,62.71,75.77,0,0,0,0,0,0,1,0,1,0,0,1,0,0
S1097,56.71,95.68,82.24,38.3,68.95,62.36,5.5,4.4,5,24,84.81,74.88499999999999,0,0,1,1,0,0,0,0,0,0,1,0,1,0
S1098,66.63,61.71,83.68,81.19999999999999,77.29,98.69,26.9,7.4,6,22,93.02,78.12100000000001,0,0,0,0,0,0,1,1,0,0,0,1,0,0
S1099,93.92,78.88,83.96,0.3,54.04,69.86,8.7,8.8,10,22,86.01,72.0455,1,1,1,1,0,0,0,0,0,1,0,1,0,0
S1100,80.64,68.05,55.46,59.5,89.19,79.95,19.6,7.3,6,19,42.05,68.094,1,0,1,1,0,0,0,0,0,0,1,0,0,1
S1101,77.08,83.15,59.59,61.4,99.26,62.08,27.1,6.7,5,23,89.64,85.25150000000001,0,0,1,1,0,0,0,1,0,0,0,0,1,0
S1102,82.33,78.23,81.53,53.4,53.29,74.52,10.5,4.8,2,24,86.47,72.5115,1,0,0,0,1,0,0,0,0,1,0,0,1,0
S1103,89.73,96.2,70.41,63.0,90.05,53.71,15.3,7.1,1,22,80.16,85.1355,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S1104,92.66,55.08,88.14,16.7,62.09,51.74,14.4,7.1,10,21,85.6,71.837,0,0,1,1,0,0,0,1,0,0,0,0,1,0
S1105,78.56,61.03,56.25,68.5,59.88,73.44,7.2,7.1,6,23,98.77,72.645,0,0,0,1,0,0,0,0,0,1,0,0,1,0
S1106,93.4,88.32,59.58,33.6,84.67,69.93,15.6,8.5,1,24,65.87,76.7645,0,1,0,1,0,0,0,0,0,0,1,1,0,0
S1107,72.12,68.44,77.92,45.2,52.21,56.84,17.0,7.6,1,22,44.03,57.8065,0,1,1,0,0,0,1,0,0,0,1,0,0,1
S1108,56.64,58.29,75.04,33.3,73.16,84.38,5.7,7.9,6,22,67.65,65.269,0,1,0,1,0,0,0,0,1,0,0,0,0,1
S1109,92.8,75.17,63.32,47.400000000000006,50.07,99.65,17.2,5.6,1,19,42.79,59.616,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S1110,72.49,82.61,70.42,62.2,77.72,69.78,7.3,5.4,2,24,57.66,71.148,1,1,1,0,0,1,0,0,0,0,1,1,0,0
S1111,94.37,52.24,51.75,83.80000000000001,73.1,81.23,27.3,5.0,1,21,75.21,72.08899999999998,0,0,1,0,0,1,0,1,0,0,0,1,0,0
S1112,42.41,64.58,51.85,48.3,95.77,98.15,21.3,7.9,7,23,58.58,67.0245,1,1,0,0,0,1,0,0,0,0,1,0,1,0
S1113,63.85,90.47,54.75,32.3,86.01,91.58,6.4,7.5,4,20,81.12,76.321,0,1,1,0,0,1,0,1,0,0,0,0,0,1
S1114,96.87,76.01,78.84,48.8,56.3,73.18,25.7,5.7,4,18,89.32,75.476,0,0,1,1,0,0,0,1,0,0,0,0,1,0
S1115,54.98,51.77,93.19,68.89999999999999,67.73,86.87,14.0,4.7,4,21,65.23,65.403,1,1,1,0,0,1,0,1,0,0,0,1,0,0
S1116,96.49,64.1,63.01,34.7,96.58,56.41,10.6,8.2,5,20,94.01,84.601,1,0,0,0,0,0,1,0,1,0,0,0,1,0
S1117,97.23,81.96,51.7,41.4,86.27,75.61,11.3,5.9,9,21,44.79,71.197,0,0,1,0,0,0,1,0,1,0,0,0,1,0
S1118,92.93,59.97,85.43,56.3,79.71,63.95,19.9,4.9,5,24,90.41,80.8085,1,1,1,0,0,1,0,1,0,0,0,0,1,0
S1119,73.82,91.37,92.77,29.4,77.95,58.06,7.0,4.7,10,20,89.71,81.338,0,1,0,0,1,0,0,0,1,0,0,1,0,0
S1120,78.82,83.83,56.91,20.9,69.9,71.31,6.5,8.6,2,24,59.32,66.93350000000001,0,1,0,0,0,0,1,0,1,0,0,0,0,1
S1121,92.18,73.57,69.29,14.0,79.26,56.55,20.7,4.7,8,20,57.92,70.74950000000001,1,1,0,0,0,0,1,0,1,0,0,0,1,0
S1122,86.55,95.78,57.94,35.3,88.58,84.95,29.5,5.8,8,21,58.31,76.06,1,1,0,0,0,1,0,0,0,0,1,0,0,1
S1123,77.81,69.59,55.32,4.8,56.38,72.81,17.1,7.2,9,19,88.68,66.96600000000001,1,0,1,0,0,1,0,0,0,1,0,0,0,1
S1124,98.94,61.75,82.41,58.3,98.49,76.56,15.3,6.0,4,21,89.9,87.2815,1,1,0,1,0,0,0,0,1,0,0,1,0,0
S1125,81.14,83.07,98.38,17.6,61.97,57.32,28.7,6.4,3,24,59.78,68.8855,0,0,1,0,0,0,1,1,0,0,0,0,1,0
S1126,98.53,78.66,83.91,37.7,72.39,56.99,11.0,8.0,10,21,75.56,77.4615,1,0,1,0,0,1,0,0,0,1,0,0,1,0
S1127,43.44,66.76,99.24,26.9,51.14,79.17,11.0,9.0,6,20,48.34,55.226,1,0,0,0,0,1,0,0,0,0,1,0,0,1
S1128,48.34,67.18,71.72,63.0,77.52,99.25,27.6,6.3,1,18,68.13,67.93849999999999,1,1,0,1,0,0,0,0,1,0,0,0,0,1
S1129,67.09,69.91,94.89,85.0,69.09,54.81,21.2,5.9,6,20,99.93,79.9985,1,1,0,0,0,0,1,0,1,0,0,0,0,1
S1130,63.09,64.56,60.25,63.3,62.49,64.29,6.3,6.0,5,22,49.53,59.467,1,1,1,0,0,1,0,0,1,0,0,1,0,0
S1131,86.96,85.51,55.9,54.3,99.28,93.47,21.8,5.8,1,21,96.85,88.172,0,0,1,1,0,0,0,0,0,0,1,1,0,0
S1132,49.64,82.57,85.13,66.9,71.41,53.61,25.5,6.4,6,23,89.46,75.47749999999999,0,1,0,0,0,1,0,1,0,0,0,0,0,1
S1133,98.57,72.04,68.57,3.0,70.71,93.79,11.8,5.7,3,21,98.33,78.39399999999999,1,1,1,0,1,0,0,1,0,0,0,1,0,0
S1134,58.9,69.89,65.88,12.3,73.16,76.21,14.6,6.3,8,19,50.77,61.16199999999999,1,1,1,0,1,0,0,0,0,1,0,1,0,0
S1135,65.74,68.25,83.56,9.5,55.81,70.41,9.9,8.7,3,24,52.81,58.875,0,0,0,0,0,1,0,0,0,1,0,1,0,0
S1136,56.48,64.17,66.67,9.8,69.65,65.48,20.8,5.4,3,23,41.01,56.402,1,0,0,0,0,0,1,1,0,0,0,0,1,0
S1137,74.76,54.28,78.63,26.0,66.82,64.86,21.6,7.3,7,20,83.48,69.43499999999999,0,1,0,0,1,0,0,0,1,0,0,1,0,0
S1138,43.52,63.41,64.97,53.2,73.26,65.29,6.7,6.4,1,19,78.65,66.83699999999999,0,1,0,1,0,0,0,1,0,0,0,0,0,1
S1139,48.98,66.06,89.19,11.5,92.83,94.24,21.9,7.7,10,21,50.68,67.269,1,1,1,0,0,1,0,0,1,0,0,0,1,0
S1140,84.75,77.38,65.62,93.5,59.64,86.19,21.5,6.4,10,20,87.47,75.31599999999999,0,0,0,1,0,0,0,0,0,0,1,0,0,1
S1141,51.19,88.69,76.75,85.39999999999999,80.39,83.49,5.9,4.8,8,20,57.95,71.5315,1,1,0,0,1,0,0,0,1,0,0,1,0,0
S1142,54.13,69.79,51.16,97.2,51.88,89.94,18.9,8.4,4,22,48.1,56.153,1,0,1,0,0,0,1,0,0,0,1,0,0,1
S1143,87.58,97.24,89.59,4.3,65.84,62.86,20.3,7.4,5,22,65.35,72.9865,0,0,0,1,0,0,0,0,1,0,0,0,0,1
S1144,45.6,91.37,81.02,85.1,73.63,80.9,15.8,6.6,5,18,45.46,66.35650000000001,0,0,1,0,1,0,0,1,0,0,0,1,0,0
S1145,66.25,99.24,59.61,80.39999999999999,53.71,73.0,27.5,8.2,4,22,55.79,64.865,1,0,1,0,1,0,0,0,0,1,0,0,0,1
S1146,41.38,93.81,60.77,90.2,77.2,89.12,13.2,8.9,1,24,62.28,69.5955,0,0,1,0,1,0,0,0,1,0,0,1,0,0
S1147,60.81,80.84,63.12,52.8,65.52,65.46,6.7,6.0,3,23,91.11,72.633,1,0,1,1,0,0,0,0,0,1,0,1,0,0
S1148,81.94,79.92,78.83,78.8,99.64,82.16,21.8,5.8,8,20,87.55,87.8815,0,1,0,0,1,0,0,0,1,0,0,1,0,0
S1149,45.41,56.48,77.42,5.1,81.55,94.11,20.1,7.8,2,22,66.57,64.38799999999999,0,0,1,0,0,1,0,1,0,0,0,0,0,1
S1150,93.3,86.12,63.69,7.6,62.21,70.11,29.7,6.3,8,18,83.47,73.1925,1,0,0,0,1,0,0,1,0,0,0,0,0,1
S1151,94.57,80.01,84.7,11.9,55.13,53.33,10.8,4.4,4,21,74.12,70.321,1,0,1,0,0,1,0,1,0,0,0,0,0,1
S1152,46.3,75.35,94.45,91.5,52.04,75.8,14.9,5.8,9,23,60.45,62.992,1,1,1,0,0,0,1,0,1,0,0,0,1,0
S1153,99.44,84.66,52.18,6.1,54.54,67.3,16.5,8.0,8,22,83.55,70.3875,0,0,0,0,0,1,0,0,0,0,1,0,0,1
S1154,57.85,72.2,70.86,10.0,84.0,83.61,26.5,7.5,8,20,81.01,72.54599999999999,1,0,1,0,0,0,1,0,1,0,0,1,0,0
S1155,45.05,76.19,79.68,93.0,92.75,97.55,15.4,8.3,4,21,77.15,77.9165,1,0,0,0,0,0,1,0,1,0,0,1,0,0
S1156,40.3,69.92,79.32,10.7,57.84,74.28,24.3,4.7,2,24,77.08,61.622,0,0,1,0,0,1,0,0,1,0,0,0,1,0
S1157,64.51,85.87,50.98,87.0,70.11,73.31,8.9,5.2,8,20,80.98,73.283,0,1,1,0,0,0,1,0,0,0,1,0,1,0
S1158,77.79,93.83,60.53,78.89999999999999,67.71,82.73,15.2,5.1,7,21,63.07,71.8215,1,0,1,0,0,1,0,0,0,1,0,0,1,0
S1159,59.93,92.04,53.09,4.0,82.23,55.17,8.9,8.9,2,24,92.14,76.0085,1,0,1,1,0,0,0,0,0,1,0,0,1,0
S1160,90.2,89.3,78.45,2.2,59.13,62.68,28.7,4.8,7,24,49.74,65.054,1,0,0,0,0,0,1,1,0,0,0,0,0,1
S1161,83.0,50.69,82.27,53.4,97.67,95.95,9.4,7.0,1,23,93.03,83.509,1,1,0,0,0,1,0,0,1,0,0,0,0,1
S1162,61.01,95.59,57.99,99.7,86.43,83.5,15.5,7.2,6,20,60.54,75.338,0,1,1,0,0,0,1,0,0,0,1,1,0,0
S1163,84.06,63.74,66.65,87.89999999999999,97.75,50.67,7.1,7.1,7,22,47.5,74.43,0,0,0,0,1,0,0,0,0,0,1,0,0,1
S1164,96.43,94.4,66.49,31.0,63.87,60.23,28.0,7.5,2,22,76.0,74.9845,1,1,0,0,0,1,0,0,0,1,0,0,1,0
S1165,45.59,59.85,90.99,38.6,79.39,84.14,20.6,6.4,2,18,62.56,66.30199999999999,1,1,1,0,1,0,0,0,0,0,1,0,1,0
S1166,58.37,71.98,59.73,38.8,86.61,88.22,29.1,4.4,8,21,88.93,75.681,1,0,0,0,0,0,1,0,0,1,0,0,1,0
S1167,67.8,87.47,77.42,73.4,85.55,91.99,6.1,7.5,2,18,65.85,76.83000000000001,0,0,1,0,0,0,1,0,0,1,0,0,1,0
S1168,69.88,82.01,89.15,34.1,51.07,64.61,9.4,5.4,10,19,80.11,68.752,1,0,0,1,0,0,0,0,1,0,0,0,0,1
S1169,72.53,70.8,91.48,14.8,99.91,96.55,14.5,4.4,2,22,58.5,75.9855,1,1,1,0,0,1,0,0,1,0,0,1,0,0
S1170,58.04,83.93,83.33,74.7,96.4,77.65,20.5,4.8,5,21,52.57,75.426,0,1,0,0,1,0,0,1,0,0,0,1,0,0
S1171,80.04,77.45,64.98,45.8,55.99,84.83,13.2,5.4,4,23,63.28,65.02850000000001,0,1,1,1,0,0,0,0,1,0,0,0,0,1
